notebook_section,source_analysis_package,source_csv_or_markdown,source_figure,source_representative_runs_csv,source_diagnostic_csv,presentation_asset_path,scientific_compatibility_note,analysis_specification,validator_status
Top-N scaling,reports/analysis/controlled_static_vs_evolvegcn_topn_halo_scaling_500u,aggregated_results.csv,figures/repeated_prediction_fraction_vs_topn.png,,,reports/meeting/assets/10_final_experiment_report/topn/repeated_prediction_fraction_vs_topn.png,Controlled within model; U500 minmax k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_topn_halo_scaling_500u.json,PASS
Normalization,reports/analysis/controlled_static_vs_evolvegcn_normalization_ablation_500u_top500,aggregated_results.csv,figures/test_mae_vs_normalization.png,,,reports/meeting/assets/10_final_experiment_report/normalization/test_mae_vs_normalization.png,Controlled within model; U500 Top500 k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_normalization_ablation_500u_top500.json,PASS
Normalization,reports/analysis/controlled_static_vs_evolvegcn_normalization_ablation_500u_top500,aggregated_results.csv,figures/prediction_std_ratio_vs_normalization.png,,,reports/meeting/assets/10_final_experiment_report/normalization/prediction_std_ratio_vs_normalization.png,Controlled within model; U500 Top500 k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_normalization_ablation_500u_top500.json,PASS
Normalization,reports/analysis/controlled_static_vs_evolvegcn_normalization_ablation_500u_top500,aggregated_results.csv,figures/repeated_prediction_fraction_vs_normalization.png,,,reports/meeting/assets/10_final_experiment_report/normalization/repeated_prediction_fraction_vs_normalization.png,Controlled within model; U500 Top500 k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_normalization_ablation_500u_top500.json,PASS
k × hidden dimension,reports/analysis/controlled_knn_by_hidden_dim_factorial_500u_top100,aggregated_results.csv,figures/test_mae_vs_k_by_hidden_dim.png,,,reports/meeting/assets/10_final_experiment_report/factorial/test_mae_vs_k_by_hidden_dim.png,Controlled within model and matched factorial cell; U500 Top100 minmax,configs/analysis_reports/controlled_knn_by_hidden_dim_factorial_500u_top100.json,PASS
k × hidden dimension,reports/analysis/controlled_knn_by_hidden_dim_factorial_500u_top100,aggregated_results.csv,figures/paired_width_mae_difference_vs_k.png,,,reports/meeting/assets/10_final_experiment_report/factorial/paired_width_mae_difference_vs_k.png,Controlled paired width comparison; U500 Top100 minmax,configs/analysis_reports/controlled_knn_by_hidden_dim_factorial_500u_top100.json,PASS
k × hidden dimension,reports/analysis/controlled_knn_by_hidden_dim_factorial_500u_top100,aggregated_results.csv,figures/prediction_std_ratio_vs_k_and_width.png,,,reports/meeting/assets/10_final_experiment_report/factorial/prediction_std_ratio_vs_k_and_width.png,Controlled within model and matched factorial cell; U500 Top100 minmax,configs/analysis_reports/controlled_knn_by_hidden_dim_factorial_500u_top100.json,PASS
Regression head,reports/analysis/controlled_evolvegcn_regression_head_ablation_750u_top1000,aggregated_results.csv,figures/test_mae_by_regression_head.png,,,reports/meeting/assets/10_final_experiment_report/head/test_mae_by_regression_head.png,Controlled linear-versus-MLP comparison; U750 Top1000 none k8 h32,configs/analysis_reports/controlled_evolvegcn_regression_head_ablation_750u_top1000.json,PASS
Regression head,reports/analysis/controlled_evolvegcn_regression_head_ablation_750u_top1000,paired_seed_differences.csv,figures/paired_mae_difference_by_seed.png,,,reports/meeting/assets/10_final_experiment_report/head/paired_mae_difference_by_seed.png,Controlled matched-seed comparison; U750 Top1000 none k8 h32,configs/analysis_reports/controlled_evolvegcn_regression_head_ablation_750u_top1000.json,PASS
Regression head,reports/analysis/controlled_evolvegcn_regression_head_ablation_750u_top1000,prediction_diagnostics.csv,figures/prediction_std_ratio_by_head.png,,,reports/meeting/assets/10_final_experiment_report/head/prediction_std_ratio_by_head.png,Controlled linear-versus-MLP comparison; U750 Top1000 none k8 h32,configs/analysis_reports/controlled_evolvegcn_regression_head_ablation_750u_top1000.json,PASS
Graph pooling,reports/analysis/controlled_evolvegcn_graph_pooling_ablation_750u_top1000,aggregated_results.csv,figures/test_mae_by_graph_pooling.png,,,reports/meeting/assets/10_final_experiment_report/pooling/test_mae_by_graph_pooling.png,Controlled mean-versus-mean+max comparison; U750 Top1000 none k8 h32,configs/analysis_reports/controlled_evolvegcn_graph_pooling_ablation_750u_top1000.json,PASS
Graph pooling,reports/analysis/controlled_evolvegcn_graph_pooling_ablation_750u_top1000,paired_pooling_differences.csv,figures/paired_mae_difference_by_seed.png,,,reports/meeting/assets/10_final_experiment_report/pooling/paired_mae_difference_by_seed.png,Controlled matched-seed comparison; U750 Top1000 none k8 h32,configs/analysis_reports/controlled_evolvegcn_graph_pooling_ablation_750u_top1000.json,PASS
Graph pooling,reports/analysis/controlled_evolvegcn_graph_pooling_ablation_750u_top1000,prediction_diagnostics.csv,figures/prediction_std_ratio_by_graph_pooling.png,,,reports/meeting/assets/10_final_experiment_report/pooling/prediction_std_ratio_by_graph_pooling.png,Controlled mean-versus-mean+max comparison; U750 Top1000 none k8 h32,configs/analysis_reports/controlled_evolvegcn_graph_pooling_ablation_750u_top1000.json,PASS
